"date","close","volume","open","high","low"

"2017/11/03","168.6500","1959700.0000","168.0000","169.4500","167.6008"
"2017/11/02","168.1000","2289430.0000","166.9900","168.4700","166.5000"
"2017/11/01","166.3700","2185974.0000","165.7200","167.9900","165.5700"
"2017/10/31","166.9100","2873004.0000","166.2500","167.4100","166.1295"
"2017/10/30","166.2300","2050099.0000","165.0000","166.5600","164.6650"
"2017/10/27","165.3900","2298236.0000","164.0900","165.8500","163.7700"
"2017/10/26","164.0100","2934312.0000","164.1400","164.6500","163.7500"
"2017/10/25","163.5800","3716067.0000","163.4100","165.1200","163.0000"
"2017/10/24","163.8800","7837910.0000","165.2600","166.4850","163.5900"
"2017/10/23","163.3400","6201355.0000","166.1000","166.1000","163.0900"
"2017/10/20","166.3000","5577494.0000","167.2300","167.9000","165.5000"
"2017/10/19","166.5000","2478220.0000","165.8200","166.9500","164.9200"
"2017/10/18","165.7700","2798259.0000","165.2900","166.2500","163.8900"
"2017/10/17","165.4000","2379687.0000","164.9200","166.0200","164.7500"
"2017/10/16","165.0100","2132652.0000","165.4400","165.7400","164.4400"
"2017/10/13","165.3700","2957447.0000","164.4500","165.5100","164.0800"
"2017/10/12","163.9100","3063988.0000","162.9900","164.4000","162.7700"
"2017/10/11","163.1500","3569994.0000","160.9000","163.2400","160.5800"
"2017/10/10","160.5800","2910440.0000","159.6900","161.5800","159.5900"
"2017/10/09","160.1200","2117921.0000","159.6100","160.4900","159.5000"
"2017/10/06","159.6000","3546364.0000","158.5800","160.1342","158.5800"
"2017/10/05","158.8000","2795851.0000","157.3000","158.9200","157.3000"
"2017/10/04","157.2100","1789463.0000","156.8300","157.4200","156.6500"
"2017/10/03","156.8600","2187705.0000","156.7500","157.4590","156.3600"
"2017/10/02","156.9600","2405661.0000","156.0000","157.1800","155.8009"
"2017/09/29","156.6800","3660869.0000","157.5100","158.0400","156.1200"
"2017/09/28","157.4900","4209314.0000","156.1600","158.3100","155.4800"
"2017/09/27","154.0500","3897431.0000","153.5100","154.6900","153.4400"
"2017/09/26","153.3500","6186245.0000","156.2500","156.8400","153.2700"
"2017/09/25","156.2600","3661080.0000","158.4700","158.6870","156.1000"
"2017/09/22","158.9100","2442594.0000","158.8800","159.7400","158.5600"
"2017/09/21","159.0300","2503435.0000","159.8700","160.0900","158.5100"
"2017/09/20","159.8800","3640977.0000","157.9000","159.8900","157.7650"
"2017/09/19","157.4300","3554491.0000","157.2700","157.9000","156.3300"
"2017/09/18","156.6800","3832237.0000","157.7200","157.7900","156.3500"
"2017/09/15","156.9200","7400662.0000","157.7900","158.0000","156.8800"
"2017/09/14","157.0000","3109505.0000","157.0000","157.3500","156.0500"
"2017/09/13","157.0000","4705600.0000","156.7400","157.7800","156.0000"
"2017/09/12","156.3300","10320390.0000","160.2100","160.7200","155.7700"
"2017/09/11","161.5300","2330962.0000","160.0000","161.7200","159.9200"
"2017/09/08","159.7100","2984123.0000","159.5300","160.3800","159.1800"
"2017/09/07","159.9000","2965376.0000","158.4700","160.0650","158.3300"
"2017/09/06","158.2200","4142926.0000","159.2300","159.3700","158.2200"
"2017/09/05","159.1000","4004904.0000","159.0000","159.7800","158.0700"
"2017/09/01","159.8100","1878054.0000","159.8700","160.2000","159.5000"
"2017/08/31","159.9700","2716767.0000","159.7700","160.0000","159.3500"
"2017/08/30","159.5300","2236471.0000","158.4000","159.6400","158.3200"
"2017/08/29","159.3800","3279742.0000","159.2000","159.7600","158.7300"
"2017/08/28","159.6700","2024733.0000","159.0400","159.9600","158.6600"
"2017/08/25","158.8200","2003532.0000","158.8900","159.3400","158.5300"
"2017/08/24","158.4100","1634754.0000","159.1100","159.6790","158.3321"
"2017/08/23","158.8100","2182142.0000","159.3000","159.3700","158.3800"
"2017/08/22","159.6400","2122578.0000","158.5000","159.9400","158.3900"
"2017/08/21","158.3600","2187100.0000","158.1700","158.6400","157.5400"
"2017/08/18","157.7600","2595670.0000","157.9900","158.2800","157.0210"
"2017/08/17","157.8900","3010571.0000","158.7500","159.5300","157.8100"
"2017/08/16","158.9000","2921712.0000","157.8900","159.3800","157.6040"
"2017/08/15","157.6200","2159239.0000","157.8400","158.5800","157.3400"
"2017/08/14","157.2600","2808907.0000","157.4500","157.9000","156.4600"
"2017/08/11","157.3000","2924659.0000","156.8800","158.3990","156.6300"
"2017/08/10","156.6200","3869534.0000","154.3300","157.2000","154.2500"
"2017/08/09","154.9200","3006402.0000","155.3000","155.6800","154.3500"
"2017/08/08","154.9200","4215920.0000","154.6700","155.2450","154.1000"
"2017/08/07","154.9700","3251753.0000","154.1400","155.3900","154.0000"
"2017/08/04","153.8200","4429379.0000","154.6100","154.8217","153.2300"
"2017/08/03","154.7200","3665560.0000","156.5600","156.7700","154.4110"
"2017/08/02","156.5900","3320665.0000","153.7600","156.6500","153.7100"
"2017/08/01","154.0400","4165990.0000","154.9800","155.9000","153.7100"
"2017/07/31","155.1400","4280364.0000","155.9200","156.4200","154.8500"
"2017/07/28","155.8500","3964206.0000","156.3600","156.6600","155.0700"
"2017/07/27","156.9500","4622655.0000","156.4200","157.4300","155.5400"
"2017/07/26","156.5100","4674116.0000","158.7600","159.0000","155.6800"
"2017/07/25","159.0700","9509801.0000","157.7500","159.9800","156.5400"
"2017/07/24","151.8500","5299131.0000","154.0000","154.2150","151.7700"
"2017/07/21","153.9200","3517080.0000","154.0600","154.7000","153.2900"
"2017/07/20","154.2100","2239718.0000","154.0300","155.2200","153.5500"
"2017/07/19","153.8900","3071480.0000","154.1300","154.4600","153.4800"
"2017/07/18","153.9600","3890485.0000","155.0000","155.2700","153.3700"
"2017/07/17","155.2600","2408743.0000","155.4300","155.4400","154.7000"
"2017/07/14","155.2800","2433137.0000","154.9900","155.5000","154.7300"
"2017/07/13","155.0400","3169725.0000","156.4900","156.5400","154.3400"
"2017/07/12","156.5800","2094759.0000","155.4100","156.7500","155.2700"
"2017/07/11","154.9100","2008680.0000","155.0900","155.8800","154.0100"
"2017/07/10","155.5200","2402179.0000","156.2800","156.5300","155.1600"
"2017/07/07","156.2700","4045179.0000","153.3700","156.5600","153.1500"
"2017/07/06","153.0900","2018670.0000","152.7000","153.4600","152.3300"
"2017/07/05","153.0700","2497334.0000","152.8200","153.5700","151.9900"
"2017/07/03","152.5000","1100668.0000","153.4400","153.8700","152.4750"
"2017/06/30","153.1600","2507813.0000","153.3000","153.7700","152.7200"
"2017/06/29","153.1300","1975536.0000","154.5800","154.5800","152.1500"
"2017/06/28","154.3000","1301925.0000","154.0400","154.6800","153.7400"
"2017/06/27","153.7200","2137826.0000","154.0000","154.8152","153.4600"
"2017/06/26","153.9600","2360263.0000","155.1800","155.4600","153.5200"
"2017/06/23","154.6400","2214694.0000","155.0000","155.4500","154.4300"
"2017/06/22","154.8000","2003441.0000","153.7800","154.9100","153.6800"
"2017/06/21","153.7300","2447751.0000","154.1800","154.4200","153.6100"
"2017/06/20","154.0700","3613796.0000","154.2700","155.2800","153.8400"
"2017/06/19","153.1400","3171114.0000","152.3900","153.1800","151.8400"
"2017/06/16","151.9900","5443905.0000","150.9800","152.8900","150.9200"
"2017/06/15","151.1700","2516967.0000","149.9000","151.5200","149.6500"
"2017/06/14","150.6800","2675032.0000","150.3200","151.0800","149.9100"
"2017/06/13","149.8200","4267682.0000","148.8600","150.2499","148.6200"
"2017/06/12","148.4700","5901538.0000","151.0000","151.0800","148.0400"
"2017/06/09","151.4800","4135360.0000","151.8800","151.9950","150.9000"
"2017/06/08","151.4300","3696988.0000","152.0000","152.1500","151.0100"
"2017/06/07","151.9400","2922708.0000","151.2300","152.0100","150.7256"
"2017/06/06","151.2300","3661594.0000","152.3700","152.5900","151.2100"
"2017/06/05","152.7900","2633039.0000","153.6300","153.6600","152.7600"
"2017/06/02","153.7400","4311175.0000","152.5200","153.9000","152.1500"
"2017/06/01","152.3900","4348400.0000","150.7900","152.3900","150.3500"
"2017/05/31","150.8900","6424091.0000","150.1200","151.1450","149.6000"
"2017/05/30","149.9300","3113840.0000","149.9500","150.3300","149.5200"
"2017/05/26","149.8600","3258228.0000","149.8700","150.2400","149.2500"
"2017/05/25","149.7800","3408013.0000","149.8100","149.9500","149.2700"
"2017/05/24","149.5000","3388799.0000","147.9400","149.9900","147.0000"
"2017/05/23","147.8200","3259307.0000","148.2200","148.5300","147.6500"
"2017/05/22","148.1900","3294546.0000","148.3000","148.8800","147.9300"
"2017/05/19","148.1500","4063928.0000","147.2500","148.8300","146.8400"
"2017/05/18","147.0100","2703434.0000","146.4100","147.2400","145.8100"
"2017/05/17","146.4100","3875545.0000","146.6350","147.4600","146.2400"
"2017/05/16","147.2900","3535947.0000","146.5500","147.6686","146.2800"
"2017/05/15","146.2800","3299475.0000","145.4300","146.4000","145.4300"
"2017/05/12","145.3600","2747717.0000","144.5000","145.5000","144.4600"
"2017/05/11","144.2100","1941935.0000","144.0800","144.4050","143.4000"
"2017/05/10","144.5200","2273019.0000","143.8600","144.6400","143.7300"
"2017/05/09","144.3600","3051826.0000","144.0900","144.9800","144.0000"
"2017/05/08","144.2400","2813263.0000","143.9300","144.5000","143.6600"
"2017/05/05","143.9600","2452521.0000","143.4200","143.9750","142.5800"
"2017/05/04","143.4500","4172371.0000","142.6200","143.6700","142.2600"
"2017/05/03","142.6200","4278509.0000","142.2000","142.7000","141.4000"
"2017/05/02","141.2300","3751265.0000","140.9800","141.8100","140.7200"
"2017/05/01","141.1500","3744988.0000","139.8600","141.4500","139.8400"
"2017/04/28","139.9300","4779816.0000","140.3900","140.7600","139.7800"
"2017/04/27","140.8700","5181422.0000","141.8800","142.7900","140.8500"
"2017/04/26","140.8400","7131386.0000","141.7000","142.0000","140.3400"
"2017/04/25","141.7000","10883080.0000","138.1400","141.9900","137.1836"
"2017/04/24","134.2300","5017681.0000","134.2400","134.7600","133.2600"
"2017/04/21","133.4100","3465088.0000","133.5500","133.8800","133.1500"
"2017/04/20","133.2700","2697230.0000","132.6500","133.4400","132.6400"
"2017/04/19","132.6400","3132315.0000","132.6400","133.0000","132.3400"
"2017/04/18","132.3000","3611839.0000","132.0100","132.8000","131.8000"
"2017/04/17","131.3500","3236365.0000","131.2500","131.8700","130.9100"
"2017/04/13","130.7600","2401079.0000","131.0000","131.1400","130.5700"
"2017/04/12","131.2600","3195534.0000","131.3100","131.5600","130.8700"
"2017/04/11","131.2000","3677631.0000","130.6200","131.2400","129.8000"
"2017/04/10","129.9800","2709285.0000","129.9500","130.6500","129.5200"
"2017/04/07","129.9600","2176597.0000","130.0200","130.4000","129.6200"
"2017/04/06","130.1500","3856952.0000","130.3100","130.6600","129.9600"
"2017/04/05","130.4100","4051443.0000","129.8900","131.5800","129.6500"
"2017/04/04","129.2900","3413863.0000","129.1400","129.5300","128.6500"
"2017/04/03","129.6100","3287107.0000","129.5000","129.7100","128.8600"
"2017/03/31","129.6100","3041671.0000","129.3900","130.1900","129.3000"
"2017/03/30","129.3200","2017763.0000","128.7500","129.5300","128.6000"
"2017/03/29","128.8400","3197028.0000","129.0000","129.6700","128.6300"
"2017/03/28","129.4500","3487418.0000","129.4600","129.7700","128.9400"
"2017/03/27","129.4900","2540415.0000","129.0800","129.8200","129.0200"
"2017/03/24","129.3400","3568230.0000","129.3800","129.6800","129.1600"
"2017/03/23","129.0000","2774527.0000","129.1400","129.5900","128.8100"
"2017/03/22","129.1000","3172866.0000","128.5800","129.1500","128.4100"
"2017/03/21","128.5200","4062870.0000","129.2200","129.7500","128.1800"
"2017/03/20","128.7800","3415501.0000","128.9900","129.4799","128.4700"
"2017/03/17","128.6400","12531480.0000","128.5700","129.9815","128.4200"
