default,nw.ta,inc.na,cashp,pat.nw,contl.nw,fa.ta,inv.nw,nw.ce,debt.equity,current.r,debtr.turn,goods.turn,debt.ta
1,0.107375979,0.394908616,-2.9,-0.62036,0.0152,0.53426893,0.253799392,0.122944694,7.13,0.89,8.46,4.53,0.765992167
1,0.118673272,0.751023045,1.8,-0.1412,0.0526,0.423648503,0.065335753,0.17414665,4.74,0.79,5.39,5.72,0.562782684
1,0.054298643,0.192630899,-7.2,-0.62036,1.5,0.773109244,0.994047619,0.058577406,10.75,2.22,10.46,17.27,0.641241112
1,0.120093458,1.576635514,-0.7,-0.1971,0.214,0.244859813,0.058365759,0.203645008,3.91,1.06,5.48,7.09,0.465420561
1,0.189517241,0.56137931,-6.4,-0.0982,0.0415,0.329793103,0.06077147,0.282309431,2.54,0.89,18.19,2.192,0.481793103
1,0.396336386,3.704412989,18.85,0.0792,0.0533,0.497085762,0.175420168,0.406143345,1.46,5.766,6.32,17.27,0.579517069
1,0.145707257,0.53601476,-18,0.0792,0.1016,0.022730627,0.014097586,0.348945446,1.87,1.66,6.32,17.27,0.271857319
1,0.161199295,0.750970018,-18,-0.4587,0.0306,0.333686067,0.182713348,0.280196199,2.57,0.9,3.16,4.97,0.414109347
1,0.130975266,0.413943355,-18,-0.62036,0.4354,0.226707677,0.081702544,0.161888167,5.18,2.96,5.09,25.97,0.678072536
1,0.198574822,0.595249406,-18,-0.5466,0.0533,0.471733967,0.0215311,0.250449371,2.99,0.86,2.12,16.06,0.594299287
1,0.017348754,1.393238434,-18,-0.62036,2.17464,0.365510083,11.92307692,0.020106548,10.75,0.87,4.08,92.99,0.845492289
1,0.649323621,0.006243496,-18,0.0792,0.00532,0.087062088,0.991452991,0.782608696,0.28,1.4,6.32,17.27,0.344086022
1,0.055900621,0.940993789,-3.8,-0.62036,2.17464,0.583850932,4.638888889,0.088235294,10.75,0.44,4.4,4.24,0.608695652
1,0.086374376,0.06458388,-18,-0.62036,2.17464,0.764242583,0.253799392,0.087967914,10.37,1.17,1.312,2.73,0.895510633
1,0.419354839,0.290322581,18.85,0.0792,0.0533,0.258064516,3.211538462,0.702702703,0.79,2.89,6.32,17.27,16
1,0.231009365,5.314776275,10,0.0675,0.4324,0.237773153,0.188063063,0.309623431,2.23,1.11,24.86,165.3,0.51508845
1,0.148635936,0.461900282,-11.7,-0.62036,0.2215,0.788805268,0.028481013,0.158237356,5.32,1.2,9.61,305.334,0.790686736
1,0.187753721,0.378552097,-18,-0.62036,0.1532,0.550744249,0.021621622,0.218074656,3.59,0.92,3.76,9.97,0.673207037
1,0.062600321,0.231139647,-18,0.0792,0.0533,0.946113277,0.305860806,0.069131426,10.75,0.31,6.32,17.27,0.842925934
1,0.149385246,0.519672131,-18,-0.5545,0.775,0.483196721,0.020576132,0.229029218,3.37,0.45,6.9,92.48,0.502868852
1,0.040201005,1.717336683,-18,-0.62036,1.8594,0.493718593,1.3046875,0.145124717,5.89,0.47,6.67,44.92,0.236809045
1,0.267247153,0.444072338,-18,-0.62036,0.0125,0.241795044,0.209273183,0.476702509,1.1,0.69,7.68,17.27,0.293369056
1,0.053276756,0.256011315,-12.3,-0.62036,0.1504,0.621404998,0.123893805,0.090617482,10.04,0.31,65.526,2.192,0.534653465
1,0.380503145,6.995283019,18.85,0.0792,0.0533,0.932389937,0.345041322,0.460076046,1.17,0.31,6.32,17.27,0.446540881
1,0.01017524,4.344262295,2.9,-0.62036,2.17464,0.208592425,0.222222222,0.011553273,10.75,1.83,19.77,48.9,0.871113624
1,0.4,9.886666667,-1.5,0.0792,0.1222,0.828888889,0.166666667,0.428571429,1.33,0.4,6.32,17.27,0.444444444
1,0.066761465,0.795094205,-18,-0.62036,0.8253,0.54696054,0.088924388,0.107032942,8.34,0.77,6.68,6.57,0.556985425
1,0.390138408,4.790657439,2.8,-0.0098,0.1242,0.186851211,0.185144124,0.442156863,1.26,1.06,35.19,134.71,0.492214533
1,0.054545455,13.48181818,18.85,0.0792,0.0533,0.642424242,4.638888889,0.068965517,10.75,0.31,6.32,17.27,0.787878788
1,0.069590643,1.308187135,3.2,-0.62036,0.9076,0.585380117,0.701680672,0.113875598,7.78,0.68,11.46,13.07,0.541520468
1,0.079625293,1.534738486,-18,-0.62036,2.17464,0.272443404,0.049019608,0.10703043,8.34,1.22,23.07,141.28,0.664324746
1,0.353007946,3.599318956,-0.9,0.0792,0.0514,0.439273553,0.268488746,0.587901701,0.7,0.31,1.312,305.334,0.247446084
1,0.104316547,1.611510791,2.7,0.4167,0.0533,0.147482014,2.879310345,0.783783784,0.79,0.82,8.58,6.04,3.568345324
1,0.058937903,0.636650869,11.3,-0.0956,1.1959,0.302102321,0.018556701,0.072954272,10.75,1.13,65.526,2.192,0.748936687
1,0.099554442,0.960456697,-6.1,0.1222,0.6434,0.687412977,0.023776224,0.150589722,5.64,0.85,65.526,2.39,0.519771651
1,0.1286844,3.198418404,-18,-0.62036,2.17464,0.011502516,0.466480447,0.148547718,5.73,1.23,6.32,17.27,0.73759885
1,0.091004184,0.767782427,-18,-0.62036,0.0533,0.060669456,0.959770115,0.208133971,3.8,2.05,1.312,35.85,0.34623431
1,0.063950198,2.357102434,-7.5,-0.62036,0.1593,0.309564233,0.738938053,0.097162511,9.29,1.08,10.05,8.2,0.594227504
1,0.155403814,0.121262067,-18,-0.62036,0.0533,0.273369437,0.265151515,0.205607477,3.86,0.49,1.312,2.72,0.600423829
1,0.645348837,0.415697674,-18,-0.62036,0.0533,0.574127907,0.188063063,0.997752809,0.79,0.77,4.12,17.27,0.011627907
1,0.290322581,1.064516129,0.4,0.2222,2.17464,0.258064516,0.055555556,0.486486486,0.79,3.25,7.76,58.6,16
1,0.065432412,2.202130358,-18,-0.62036,0.093,0.272635049,0.07751938,0.242026266,3.13,0.76,13.02,3.6,0.204920112
1,0.290322581,71.75806452,18.85,0.0792,0.0533,15.08064516,4.638888889,0.486486486,0.79,1.23,6.32,17.27,16
1,0.475352113,15.66549296,18.85,0.0792,0.0533,0.862676056,0.074074074,0.485611511,1.06,0.43,6.32,17.27,0.503521127
1,0.179282869,0.64940239,-10.3,-0.62036,1.1222,0.197211155,0.927777778,0.278637771,2.59,1.53,8.34,34.09,0.464143426
1,0.080278782,0.776458441,-14.5,-0.62036,0.1961,0.844088797,0.003215434,0.112844702,7.86,0.31,5.3,60.06,0.631130614
1,0.019354839,0.406451613,-8.2,-0.62036,0.0476,0.068202765,3.976190476,0.048498845,10.75,1,2.89,2.192,0.379723502
1,0.212053571,1.077380952,-17.6,-0.62036,0.00532,0.686755952,0.133333333,0.248908297,3.02,0.61,13.59,20.34,0.639880952
1,0.293417367,0.476190476,23.1,-0.0457,1.1184,0.411904762,0.021479714,0.357386557,1.8,1.83,1.98,8.04,0.516386555
1,0.381046397,1.663573544,-0.4,-0.0734,0.1456,0.075222113,0.043264249,0.736360168,0.36,1.39,2.38,305.334,0.136426456
1,0.104275051,1.066726985,-18,0.0792,0.0533,0.447636281,0.006507592,0.165529623,5.04,0.77,6.32,17.27,0.418231169
1,0.127891156,0.163945578,5,0.0792,0.0319,0.321768707,0.444148936,1,0.79,5.766,6.32,17.27,0.674829932
1,0.36898017,1.055949008,13.2,0.0685,0.6699,0.279390935,0.080134357,0.580178174,0.72,1.36,2.51,14.7,0.266997167
1,0.368301026,2.568985177,12.9,0.3776,0.0533,0.088939567,0.099071207,1,0.79,1.46,7.02,17.27,1.131128848
1,0.100496278,0.218362283,-3.7,-0.62036,0.0533,0.717121588,0.049382716,0.111111111,8,1.14,3.56,47.11,0.803970223
1,0.10092688,0.538619979,-2.9,-0.2655,0.0533,0.316168898,0.010204082,0.186666667,4.36,0.57,3.3,7.72,0.439752832
1,0.005785921,0.255544841,-16,0.0792,0.0533,0.466409515,0.166666667,0.010152284,10.75,0.41,6.32,17.27,0.56541305
1,0.05177305,0.046099291,-0.4,-0.62036,0.0533,0.507092199,0.616438356,0.139312977,6.18,0.32,1.312,2.192,0.319858156
1,0.011487965,0.731400438,1.4,-0.62036,0.0533,0.523522976,3.976190476,0.012411348,10.75,5.16,4.49,21.21,0.914113786
1,0.010091302,1.346468044,-6.7,0.0792,2.17464,0.689572321,3.976190476,0.010708822,10.75,1.59,6.32,17.27,0.932244113
1,0.009723488,2.467335156,-1.8,-0.62036,2.17464,0.132482528,2.609375,0.864864865,0.79,0.78,4.24,42.32,0.301428137
1,0.069498069,2.621621622,-18,-0.62036,0.25,0.312741313,4.638888889,0.253521127,10.75,0.53,5.4,23.43,0.258687259
1,0.083333333,0.252136752,18.85,0.0792,0.0533,0.91025641,2.141025641,0.085903084,10.64,2.11,6.32,17.27,0.886752137
1,0.221218962,0.941309255,-10.5,-0.1157,0.0533,0.273137698,0.346938776,0.241975309,3.13,0.5,3.04,42.66,0.693002257
1,0.096595408,0.359461599,2.9,0.0249,0.0533,0.387173397,0.016393443,0.12398374,7.07,0.55,11.64,3.39,0.682501979
1,0.137628111,0.747877013,-18,0.224,0.2149,0.287847731,0.321276596,0.232443126,3.3,0.66,3.53,22.78,0.454465593
1,0.16359447,1.873271889,9.2,0.0792,0.0533,0.080645161,0.007042254,0.312087912,2.2,1.15,6.32,17.27,0.360599078
