,date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment,close_delta,close_direction,Stock_name
1243,2012-11-28,49.2,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.2345679012345707,2,DISNEY
1242,2012-11-29,49.72,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.0569105691056828,2,DISNEY
1241,2012-11-30,49.66,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.12067578439260312,1,DISNEY
1240,2012-12-03,49.29,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.7450664518727295,1,DISNEY
1239,2012-12-04,49.3,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.020288090890643155,1,DISNEY
1238,2012-12-05,49.59,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.5882352941176598,1,DISNEY
1237,2012-12-06,49.06,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-1.0687638636821963,0,DISNEY
1236,2012-12-07,49.24,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.3668976763147161,1,DISNEY
1235,2012-12-10,49.3,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.12185215272135493,1,DISNEY
1234,2012-12-11,49.48,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.3651115618661252,1,DISNEY
1233,2012-12-12,49.64,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,0.32336297493937693,1,DISNEY
1232,2012-12-13,49.11,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-1.0676873489121699,0,DISNEY
1231,2012-12-14,48.67,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.8959478721237991,1,DISNEY
1230,2012-12-17,49.28,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.2533388124101077,2,DISNEY
1229,2012-12-18,50.22,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.9074675324675279,2,DISNEY
1228,2012-12-19,49.94,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.5575467941059361,1,DISNEY
1227,2012-12-20,50.9299,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.9821786143372162,2,DISNEY
1226,2012-12-21,50.0,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-1.8258429723993244,0,DISNEY
1225,2012-12-24,49.88,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.2399999999999949,1,DISNEY
1224,2012-12-26,49.85,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.06014434643143772,1,DISNEY
1223,2012-12-27,49.53,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.6419257773319965,1,DISNEY
1222,2012-12-28,49.15,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,-0.7672117908338433,1,DISNEY
1221,2012-12-31,49.79,1.0699,0.3411,18.3176,0.14400000000000002,3.3128,3,1.3021363173957285,2,DISNEY
1220,2013-01-02,51.1,0.9879,0.4023,18.4464,0.1406,3.3157,3,2.6310504117292672,2,DISNEY
1219,2013-01-03,51.21,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.21526418786692647,1,DISNEY
1218,2013-01-04,52.19,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.9136887326693945,2,DISNEY
1217,2013-01-07,50.97,0.9879,0.4023,18.4464,0.1406,3.3157,3,-2.3376125694577485,0,DISNEY
1216,2013-01-08,50.76,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.4120070629782242,1,DISNEY
1215,2013-01-09,50.78,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.03940110323089663,1,DISNEY
1214,2013-01-10,50.79,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.019692792437963787,1,DISNEY
1213,2013-01-11,50.58,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.41346721795629227,1,DISNEY
1212,2013-01-14,50.59,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.019770660340065475,1,DISNEY
1211,2013-01-15,51.09,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.9883376161296697,1,DISNEY
1210,2013-01-16,51.53,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.8612252887062003,1,DISNEY
1209,2013-01-17,52.41,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.7077430622938004,2,DISNEY
1208,2013-01-18,52.34,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.13356229727150007,1,DISNEY
1207,2013-01-22,52.73,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.7451280091707937,1,DISNEY
1206,2013-01-23,53.95,0.9879,0.4023,18.4464,0.1406,3.3157,3,2.313673430684631,2,DISNEY
1205,2013-01-24,53.95,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.0,1,DISNEY
1204,2013-01-25,54.38,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.797034291010194,1,DISNEY
1203,2013-01-28,54.36,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.0367782272894504,1,DISNEY
1202,2013-01-29,53.99,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.680647534952166,1,DISNEY
1201,2013-01-30,53.79,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.37043897017966815,1,DISNEY
1200,2013-01-31,53.88,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.167317345231462,1,DISNEY
1199,2013-02-01,54.59,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.3177431328879006,2,DISNEY
1198,2013-02-04,53.9,0.9879,0.4023,18.4464,0.1406,3.3157,3,-1.2639677596629506,0,DISNEY
1197,2013-02-05,54.29,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.7235621521335818,1,DISNEY
1196,2013-02-06,54.52,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.4236507644133431,1,DISNEY
1195,2013-02-07,54.36,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.29347028613353576,1,DISNEY
1194,2013-02-08,54.66,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.5518763796909439,1,DISNEY
1193,2013-02-11,54.75,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.16465422612514347,1,DISNEY
1192,2013-02-12,54.95,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.36529680365297323,1,DISNEY
1191,2013-02-13,54.96,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.018198362147403113,1,DISNEY
1190,2013-02-14,54.88,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.14556040756913807,1,DISNEY
1189,2013-02-15,55.61,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.330174927113697,2,DISNEY
1188,2013-02-19,55.73,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.21578852724329697,1,DISNEY
1187,2013-02-20,54.6,0.9879,0.4023,18.4464,0.1406,3.3157,3,-2.0276332316526027,0,DISNEY
1186,2013-02-21,54.17,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.787545787545787,1,DISNEY
1185,2013-02-22,54.25,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.14768321949418184,1,DISNEY
1184,2013-02-25,53.59,0.9879,0.4023,18.4464,0.1406,3.3157,3,-1.216589861751146,0,DISNEY
1183,2013-02-26,53.9,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.5784661317409875,1,DISNEY
1182,2013-02-27,54.48,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.0760667903525014,2,DISNEY
1181,2013-02-28,54.59,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.20190895741557738,1,DISNEY
1180,2013-03-01,55.33,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.3555596263051746,2,DISNEY
1179,2013-03-04,55.8,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.8494487619736109,1,DISNEY
1178,2013-03-05,56.48,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.2186379928315407,2,DISNEY
1177,2013-03-06,56.36,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.21246458923512296,1,DISNEY
1176,2013-03-07,56.32,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.07097232079488848,1,DISNEY
1175,2013-03-08,57.39,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.899857954545455,2,DISNEY
1174,2013-03-11,57.66,0.9879,0.4023,18.4464,0.1406,3.3157,2,0.4704652378463078,1,DISNEY
1173,2013-03-12,57.11,0.9879,0.4023,18.4464,0.1406,3.3157,4,-0.9538674991328427,1,DISNEY
1172,2013-03-13,57.34,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.4027315706531325,1,DISNEY
1171,2013-03-14,57.75,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.7150331356818915,1,DISNEY
1170,2013-03-15,57.58,0.9879,0.4023,18.4464,0.1406,3.3157,4,-0.29437229437229734,1,DISNEY
1169,2013-03-18,56.83,0.9879,0.4023,18.4464,0.1406,3.3157,3,-1.3025356026398056,0,DISNEY
1168,2013-03-19,56.31,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.9150096779869717,1,DISNEY
1167,2013-03-20,56.94,0.9879,0.4023,18.4464,0.1406,3.3157,3,1.1188066062866195,2,DISNEY
1166,2013-03-21,56.31,0.9879,0.4023,18.4464,0.1406,3.3157,3,-1.106427818756578,0,DISNEY
1165,2013-03-22,56.78,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.8346652459598629,1,DISNEY
1164,2013-03-25,56.21,0.9879,0.4023,18.4464,0.1406,3.3157,3,-1.0038746037337094,0,DISNEY
1163,2013-03-26,56.63,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.7471980074719831,1,DISNEY
1162,2013-03-27,56.47,0.9879,0.4023,18.4464,0.1406,3.3157,3,-0.28253575843193307,1,DISNEY
1161,2013-03-28,56.8,0.9879,0.4023,18.4464,0.1406,3.3157,3,0.5843810873029898,1,DISNEY
1160,2013-04-01,56.69,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.1936619718309849,1,DISNEY
1159,2013-04-02,57.46,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.3582642441347736,2,DISNEY
1158,2013-04-03,57.25,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.3654716324399597,1,DISNEY
1157,2013-04-04,57.59,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.593886462882102,1,DISNEY
1156,2013-04-05,57.7,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.19100538287897104,1,DISNEY
1155,2013-04-08,58.82,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.9410745233968758,2,DISNEY
1154,2013-04-09,59.14,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.544032641958518,1,DISNEY
1153,2013-04-10,60.11,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.6401758539059836,2,DISNEY
1152,2013-04-11,60.55,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.7319913491931421,1,DISNEY
1151,2013-04-12,60.55,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.0,1,DISNEY
1150,2013-04-15,58.88,1.1152,0.3837,20.2198,0.1297,3.6721,3,-2.758051197357547,0,DISNEY
1149,2013-04-16,60.75,1.1152,0.3837,20.2198,0.1297,3.6721,3,3.1759510869565175,2,DISNEY
1148,2013-04-17,60.68,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.11522633744856013,1,DISNEY
1147,2013-04-18,59.99,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.1371127224785724,0,DISNEY
1146,2013-04-19,61.56,1.1152,0.3837,20.2198,0.1297,3.6721,3,2.6171028504750797,2,DISNEY
1145,2013-04-22,62.01,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.7309941520467766,1,DISNEY
1144,2013-04-23,62.59,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.9353330108047178,1,DISNEY
1143,2013-04-24,61.94,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.038504553443051,0,DISNEY
1142,2013-04-25,62.0,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.09686793671295169,1,DISNEY
1141,2013-04-26,61.87,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.20967741935484283,1,DISNEY
1140,2013-04-29,63.0,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.8264102149668702,2,DISNEY
1139,2013-04-30,62.84,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.25396825396824857,1,DISNEY
1138,2013-05-01,63.21,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.5887969446212562,1,DISNEY
1137,2013-05-02,63.88,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.0599588672678402,2,DISNEY
1136,2013-05-03,64.8,1.1152,0.3837,20.2198,0.1297,3.6721,4,1.4402003757044373,2,DISNEY
1135,2013-05-06,65.06,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.4012345679012425,1,DISNEY
1134,2013-05-07,66.07,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.552413157085753,2,DISNEY
1133,2013-05-08,65.99,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.12108369910700514,1,DISNEY
1132,2013-05-09,66.67,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.0304591604788709,2,DISNEY
1131,2013-05-10,67.2,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.7949602519874023,1,DISNEY
1130,2013-05-13,67.32,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.1785714285714142,1,DISNEY
1129,2013-05-14,67.47,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.22281639928699598,1,DISNEY
1128,2013-05-15,67.67,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.2964280420927862,1,DISNEY
1127,2013-05-16,66.47,1.1152,0.3837,20.2198,0.1297,3.6721,2,-1.7733116595241656,0,DISNEY
1126,2013-05-17,66.58,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.16548819016097402,1,DISNEY
1125,2013-05-20,66.12,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.6908981676178939,1,DISNEY
1124,2013-05-21,65.83,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.4385964912280796,1,DISNEY
1123,2013-05-22,65.57,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.3949567066686999,1,DISNEY
1122,2013-05-23,65.23,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.5185298154643728,1,DISNEY
1121,2013-05-24,65.49,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.39858960600949084,1,DISNEY
1120,2013-05-28,66.69,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.8323408153916674,2,DISNEY
1119,2013-05-29,66.26,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.6447743289848442,1,DISNEY
1118,2013-05-30,64.65,1.1152,0.3837,20.2198,0.1297,3.6721,3,-2.4298219136734067,0,DISNEY
1117,2013-05-31,63.08,1.1152,0.3837,20.2198,0.1297,3.6721,3,-2.4284609435421616,0,DISNEY
1116,2013-06-03,63.8,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.1414077362079882,2,DISNEY
1115,2013-06-04,64.35,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.862068965517237,1,DISNEY
1114,2013-06-05,63.12,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.9114219114219066,0,DISNEY
1113,2013-06-06,63.14,1.1152,0.3837,20.2198,0.1297,3.6721,4,0.03168567807351572,1,DISNEY
1112,2013-06-07,64.85,1.1152,0.3837,20.2198,0.1297,3.6721,3,2.708267342413674,2,DISNEY
1111,2013-06-10,63.83,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.5728604471858074,0,DISNEY
1110,2013-06-11,63.8,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.04699984333385734,1,DISNEY
1109,2013-06-12,62.99,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.2695924764890207,0,DISNEY
1108,2013-06-13,64.3,1.1152,0.3837,20.2198,0.1297,3.6721,3,2.079695189712645,2,DISNEY
1107,2013-06-14,63.8,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.7776049766718507,1,DISNEY
1106,2013-06-17,64.49,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.0815047021943538,2,DISNEY
1105,2013-06-18,65.29,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.2405024034734244,2,DISNEY
1104,2013-06-19,64.33,1.1152,0.3837,20.2198,0.1297,3.6721,3,-1.4703629958646163,0,DISNEY
1103,2013-06-20,61.98,1.1152,0.3837,20.2198,0.1297,3.6721,3,-3.6530390175656793,0,DISNEY
1102,2013-06-21,62.73,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.2100677637947725,2,DISNEY
1101,2013-06-24,62.44,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.4622987406344638,1,DISNEY
1100,2013-06-25,62.57,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.20819987187700603,1,DISNEY
1099,2013-06-26,63.21,1.1152,0.3837,20.2198,0.1297,3.6721,3,1.022854403068564,2,DISNEY
1098,2013-06-27,63.72,1.1152,0.3837,20.2198,0.1297,3.6721,3,0.8068343616516341,1,DISNEY
1097,2013-06-28,63.15,1.1152,0.3837,20.2198,0.1297,3.6721,3,-0.8945386064030136,1,DISNEY
1096,2013-07-01,63.93,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.235154394299289,2,DISNEY
1095,2013-07-02,63.26,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.048021273267639,0,DISNEY
1094,2013-07-03,63.61,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.5532722099272864,1,DISNEY
1093,2013-07-05,63.82,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.3301367709479655,1,DISNEY
1092,2013-07-08,64.71,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.3945471638984541,2,DISNEY
1091,2013-07-09,64.94,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.3554319270591933,1,DISNEY
1090,2013-07-10,64.91,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.04619648906683267,1,DISNEY
1089,2013-07-11,66.58,1.2525,0.3268,25.4275,0.1437,4.4307,3,2.572793098135883,2,DISNEY
1088,2013-07-12,66.98,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.6007810153199244,1,DISNEY
1087,2013-07-15,65.93,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.5676321289937252,0,DISNEY
1086,2013-07-16,65.03,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.3650841801911202,0,DISNEY
1085,2013-07-17,65.36,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.5074580962632605,1,DISNEY
1084,2013-07-18,65.82,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.7037943696450333,1,DISNEY
1083,2013-07-19,65.16,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.0027347310847716,0,DISNEY
1082,2013-07-22,64.4,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.1663597298956276,0,DISNEY
1081,2013-07-23,64.45,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.07763975155279061,1,DISNEY
1080,2013-07-24,64.64,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.29480217222652866,1,DISNEY
1079,2013-07-25,64.55,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.13923267326733202,1,DISNEY
1078,2013-07-26,64.98,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.6661502711076791,1,DISNEY
1077,2013-07-29,64.61,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.5694059710680279,1,DISNEY
1076,2013-07-30,64.18,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.665531651447133,1,DISNEY
1075,2013-07-31,64.65,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.7323153630414441,1,DISNEY
1074,2013-08-01,65.36,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.098221191028606,2,DISNEY
1073,2013-08-02,66.51,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.7594859241126157,2,DISNEY
1072,2013-08-05,66.02,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.7367313185987207,1,DISNEY
1071,2013-08-06,67.05,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.5601332929415348,2,DISNEY
