m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2011,Q,,2011,2,2011,2,7,2.8201,,,0.6806,3.0779,51.1074,27.6338,27.6338,,12.7334,10.3557,12107,,,,0.0482,1.1916,0.1113,808.6786,2.7945,7.5817,0.493,0.8926,1.138,12.3012,1.4231
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2011,Q,,2011,3,2011,3,7,2.6684,,,0.6791,3.1205,52.61,25.953,25.953,,10.6521,6.6254,19809,,,,0.0479,1.1157,0.113,796.6364,2.6267,8.1123,0.4514,0.8429,1.8675,12.008,2.2837
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2011,Q,,2011,4,2011,4,7,2.4931,,,0.6733,3.2257,53.2961,24.9691,24.9691,,11.8788,10.0199,26589,,,,0.0518,1.2606,0.1209,744.5369,3.342,11.8059,0.5497,1.0918,2.5037,11.1732,3.1411
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2012,Q,,2012,1,2012,1,7,2.4362,,,0.6576,3.0607,49.0622,25.3164,25.3164,,11.2144,8.6488,4999,,,,0.0496,1.1747,0.1171,768.6534,2.6886,8.9054,0.4619,0.9207,0.4711,11.4843,0.6094
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2012,Q,,2012,2,2012,2,7,2.5297,,,0.6497,2.8744,47.2512,24.1613,24.1613,,11.5037,8.5309,9636,,,,0.0524,1.2435,0.1247,721.6394,2.979,9.2832,0.5318,1.0435,0.9081,11.7341,1.3398
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2012,Q,,2012,3,2012,3,7,2.7025,,,0.647,2.7739,48.9463,24.4773,24.4773,,11.0995,9.6293,14414,,,,0.0519,1.1552,0.1252,718.8233,2.7083,8.0357,0.4961,0.9559,1.3639,12.2079,1.8999
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2012,Q,,2012,4,2012,4,7,2.9431,,,0.6476,2.6269,51.9087,25.4871,25.4871,,13.4418,10.297,22396,,,,0.0569,1.2185,0.1367,658.4951,3.4405,10.19,0.6453,1.2124,2.12,12.3462,2.9658
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2013,Q,,2013,1,2013,1,7,3.3656,,,0.6448,2.4597,50.4479,25.3613,25.3613,,11.845,10.0936,1795,,,,0.0521,1.0635,0.1256,716.3323,2.8136,8.16,,,,,
64,25.3164,,11.2144,8.6488,4999,,,,0.0496,1.1747,0.1171,768.6534,2.6886,8.9054,0.4619,0.9207,0.4711,11.4843,0.6094,,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2012,Q,,2012,2,2012,2,7,2.5297,,,0.6497,2.8744,47.2512,24.1613,24.1613,,11.5037,8.5309,9636,,,,0.0524,1.2435,0.1247,721.6394,2.979,9.2832,0.5318,1.0435,0.9081,11.7341,1.3398
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2012,Q,,2012,3,2012,3,7,2.7025,,,0.647,2.7739,48.9463,24.4773,24.4773,,11.0995,9.6293,14414,,,,0.0519,1.1552,0.1252,718.8233,2.7083,8.0357,0.4961,0.9559,1.3639,12.2079,1.8999
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2012,Q,,2012,4,2012,4,7,2.9431,,,0.6476,2.6269,51.9087,25.4871,25.4871,,13.4418,10.297,22396,,,,0.0569,1.2185,0.1367,658.4951,3.4405,10.19,0.6453,1.2124,2.12,12.3462,2.9658
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2013,Q,,2013,1,2013,1,7,3.3656,,,0.6448,2.4597,50.4479,25.3613,25.3613,,11.845,10.0936,1795,,,,0.0521,1.0635,0.1256,716.3323,2.8136,8.1605,0.5414,0.9993,0.1721,12.4805,0.4419
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2013,Q,,2013,2,2013,2,7,3.4842,,,0.6423,2.3947,47.2575,22.9043,22.9043,,10.6478,8.9364,7274,,,,0.0531,1.1032,0.1268,709.8137,2.6574,7.7572,0.5182,0.9506,0.7043,12.6484,1.1552
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2013,Q,,2013,3,2013,3,7,3.3566,,,0.6374,2.3819,45.4446,21.1043,21.1043,,10.1512,8.9482,11152,,,,0.0539,1.0843,0.1304,690.1161,2.5356,8.8925,0.4947,0.9193,1.0909,12.7548,1.6788
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2013,Q,,2013,4,2013,4,7,3.4309,,,0.6184,2.19,-224.1889,-129.082,-129.082,,-31.5484,42.2844,24472,,,,0.0115,1.4188,0.0278,3233.946,-1.7875,-5.4545,-0.3724,-0.6821,2.3785,13.5955,2.7709
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2014,Q,,2014,1,2014,1,7,3.4322,,,0.6156,2.1527,44.7896,21.0564,21.0564,,9.8933,8.9394,2864,,,,0.0514,0.981,0.1257,716.2576,1.9563,6.1222,0.414,0.7521,0.2829,13.7637,0.4901
GE,GE,GENL ELECTRIC,General Ele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5414,0.9993,0.1721,12.4805,0.4419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2013,Q,,2013,2,2013,2,7,3.4842,,,0.6423,2.3947,47.2575,22.9043,22.9043,,10.6478,8.9364,7274,,,,0.0531,1.1032,0.1268,709.8137,2.6574,7.7572,0.5182,0.9506,0.7043,12.6484,1.1552
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2013,Q,,2013,3,2013,3,7,3.3566,,,0.6374,2.3819,45.4446,21.1043,21.1043,,10.1512,8.9482,11152,,,,0.0539,1.0843,0.1304,690.1161,2.5356,8.8925,0.4947,0.9193,1.0909,12.7548,1.6788
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2013,Q,,2013,4,2013,4,7,3.4309,,,0.6184,2.19,-224.1889,-129.082,-129.082,,-31.5484,42.2844,24472,,,,0.0115,1.4188,0.0278,3233.946,-1.7875,-5.4545,-0.3724,-0.6821,2.3785,13.5955,2.7709
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2014,Q,,2014,1,2014,1,7,3.4322,,,0.6156,2.1527,44.7896,21.0564,21.0564,,9.8933,8.9394,2864,,,,0.0514,0.981,0.1257,716.2576,1.9563,6.1222,0.414,0.7521,0.2829,13.7637,0.4901
