,m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-09-30,A,,2011,4,2011,3,7,1.6084,,,,,40.4789,31.2151,31.2151,32.8908,31.5985,23.9466,33269.0,,,,0.9302,83.0296,9.2386,39.508,33.8341,35.9115,22.2753,33.8341,5.0742,11.778,5.7239
2,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-09-30,A,,2012,4,2012,3,7,1.4958,,,,,43.8712,35.296,35.296,37.3898,35.6295,26.6651,42561.0,,,,0.8889,111.0569,8.373,43.5925,35.3041,36.9806,23.7033,35.3041,6.4316,17.9802,7.6851
3,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2013-09-30,A,,2013,4,2013,3,7,1.6786,,,0.1207,0.1373,37.6245,28.6695,28.6695,32.623,29.3459,21.6705,45501.0,,,,0.8257,60.4342,8.2801,44.0815,29.9776,31.4425,17.8923,26.3592,6.9769,19.6281,8.2289
4,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2014-09-30,A,,2014,4,2014,3,7,1.0801,,,0.2063,0.3164,38.588,28.7223,28.7223,33.0693,29.2585,21.6144,50142.0,,,,0.7885,53.1776,6.7157,54.3501,35.4201,38.438,17.042,28.1142,8.1896,19.0153,9.7528
5,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2015-09-30,A,,2015,4,2015,3,7,1.1088,,,0.3088,0.539,40.0599,30.4773,30.4773,35.2938,31.0271,22.8458,70019.0,,,,0.805,59.6377,7.7024,47.3876,44.7355,48.3878,18.3899,30.9201,12.0867,21.3946,14.0281
6,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2016-09-30,A,,2016,4,2016,3,7,1.3527,,,0.3703,0.6786,39.076,27.8354,27.8354,32.707,28.4605,21.1868,53090.0,,,,0.6703,61.621,7.3599,49.5928,35.6237,38.1906,14.2024,22.4312,9.6522,24.0339,11.9674
7,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-03-31,Q,,2011,2,2011,1,7,1.9319,,,,,41.4238,31.9212,31.9212,,32.0266,24.2713,14154.0,,,,0.2599,15.5366,2.2233,40.4812,9.7386,9.9404,6.3085,9.7386,2.1604,9.4979,2.4409
8,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-06-30,Q,,2011,3,2011,2,7,1.7461,,,,,41.7276,32.827,32.827,,33.429,25.5784,24485.0,,,,0.2676,18.7278,2.4907,36.1342,10.5389,10.8374,6.8454,10.5389,3.7298,10.6873,4.1282
9,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-09-30,Q,,2011,4,2011,3,7,1.6084,,,,,40.2547,30.8101,30.8101,,31.0966,23.4277,33269.0,,,,0.2429,21.7655,2.4127,37.3021,8.6445,9.1753,5.6913,8.6445,5.0742,11.778,5.7239
10,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2011-12-31,Q,,2012,1,2011,4,7,1.5827,,,,,44.6831,37.4247,37.4247,,37.7204,28.1959,16233.0,,,,0.3341,20.7363,2.8108,32.0195,14.5069,15.2464,9.4202,14.5069,2.4629,13.8003,2.6633
11,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-03-31,Q,,2012,2,2012,1,7,1.583,,,,,47.3741,39.2589,39.2589,,39.6366,29.6586,28753.0,,,,0.2596,18.7133,2.846,31.6238,11.3388,11.8892,7.7001,11.3388,4.3471,15.6608,4.7671
12,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-06-30,Q,,2012,3,2012,2,7,1.5712,,,,,42.8119,33.044,33.044,,33.8663,25.1949,36886.0,,,,0.215,17.8512,2.4495,36.7421,7.8965,8.3022,5.417,7.8965,5.564,17.0322,6.2932
13,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-09-30,Q,,2012,4,2012,3,7,1.4958,,,,,40.0406,30.4287,30.4287,,30.2869,22.8633,42561.0,,,,0.2043,27.263,1.9241,46.7742,6.9563,7.2866,4.6705,6.9563,6.4316,17.9802,7.6851
14,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2012-12-31,Q,,2013,1,2012,4,7,1.5433,,,,,38.6337,31.571,31.571,,32.4186,23.9911,21109.0,,,,0.278,22.9911,2.5314,35.5529,10.2697,10.7635,6.6695,10.2697,3.1836,19.3747,3.5331
15,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2013-03-31,Q,,2013,2,2013,1,7,1.7837,,,,,37.4951,28.8008,28.8008,,29.5966,21.8953,31605.0,,,,0.2239,21.8908,3.2696,27.5266,7.0463,7.3464,4.9024,7.0463,4.7726,20.5891,5.4257
16,AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,2013-06-30,Q,,2013,3,2013,2,7,1.8783,,,0.1209,0.1375,36.8712,26.0482,26.0482,,26.7106,19.534,37548.0,,,,0.1767,13.1403,2.6257,34.2771,5.5937,5.8734,3.4525,4.9176,5.8035,19.3981,6.7634
